campaign,cell_id,replication,development_seed,analysis_seed,execution_sha256,source_route,candidate_policy_id,candidate_index,runner_up_policy_id,development_pareto_set_size,development_candidate_score,development_score_margin,candidate_completed,candidate_stopping_count,candidate_decision_checks,full_completed,full_stopping_count,full_decision_checks,paired_restricted_difference,empirical_heldout_candidate_pareto,development_season_count,confirmation_season_count,runtime_seconds,persistent_infrastructure_failure,failure_message,closest_challenger_policy_id,closest_orthant_effect,closest_covariance_rank,closest_covariance_condition,closest_max_abs_marginal_skew,closest_max_abs_excess_kurtosis
application_primary,APP-PRIMARY,13,1000013,2000013,36d201bf6a31f2ee460def09401e3e388e1b802b79e2919ddb3cd55895811b47,B-private-mirror,hard_09,9,hard_01,6,0.45,0.03936539698737773,True,63,12,False,2000,399,1937,True,4,4,0.1128355719999945,False,,hard_03,0.755335161063234,3,21753.549401407814,0.9206470610047162,1.0387024005556487
application_primary,APP-PRIMARY,14,1000014,2000014,36d201bf6a31f2ee460def09401e3e388e1b802b79e2919ddb3cd55895811b47,B-private-mirror,hard_09,9,hard_13,5,0.41217292039350734,0.1378270796064927,True,48,9,False,2000,399,1952,True,4,4,0.1110618109999848,False,,hard_03,0.7563156718395962,3,22683.06705880896,0.8995104586644487,1.1021883324735393
application_primary,APP-PRIMARY,15,1000015,2000015,36d201bf6a31f2ee460def09401e3e388e1b802b79e2919ddb3cd55895811b47,B-private-mirror,hard_09,9,hard_01,4,0.3160023233869031,0.06647018016162237,True,63,12,False,2000,399,1937,True,4,4,0.11366846699999655,False,,hard_03,0.7530484318239934,3,25064.08084884465,0.8448208878195504,1.0935294218484068
application_primary,APP-PRIMARY,16,1000016,2000016,36d201bf6a31f2ee460def09401e3e388e1b802b79e2919ddb3cd55895811b47,B-private-mirror,hard_09,9,hard_01,5,0.3038328712613588,0.17892445137551793,True,48,9,False,2000,399,1952,True,4,4,0.11175685199998497,False,,hard_03,0.7418027391522197,3,24122.061875918498,0.8837809687614624,1.0627041603768184
application_primary,APP-PRIMARY,17,1000017,2000017,36d201bf6a31f2ee460def09401e3e388e1b802b79e2919ddb3cd55895811b47,B-private-mirror,hard_09,9,hard_01,5,0.3415403510375257,0.011621752303856203,True,43,8,False,2000,399,1957,True,4,4,0.11203751799999395,False,,hard_03,0.7156895263300647,3,24103.412767355963,0.8946092911842145,1.0074488397367531
application_primary,APP-PRIMARY,18,1000018,2000018,36d201bf6a31f2ee460def09401e3e388e1b802b79e2919ddb3cd55895811b47,B-private-mirror,hard_01,1,hard_09,5,0.4306759631175545,0.019324036882445494,True,188,37,False,2000,399,1812,True,4,4,0.10761264499998902,False,,hard_05,0.3960899244417294,3,19375.251344501306,8.505088508020147,86.16109036780745
application_primary,APP-PRIMARY,19,1000019,2000019,36d201bf6a31f2ee460def09401e3e388e1b802b79e2919ddb3cd55895811b47,B-private-mirror,hard_09,9,candidate_anchor_00,6,0.25745073092656184,0.2522377206040281,True,88,17,False,2000,399,1912,True,4,4,0.11223481599998308,False,,hard_03,0.7551922590827607,3,23454.930122223745,0.9069180498018851,1.1288557710134965
application_primary,APP-PRIMARY,20,1000020,2000020,36d201bf6a31f2ee460def09401e3e388e1b802b79e2919ddb3cd55895811b47,B-private-mirror,hard_09,9,candidate_anchor_00,6,0.397280301578835,0.14644749154549352,True,53,10,False,2000,399,1947,True,4,4,0.1121895029999962,False,,hard_03,0.7340553843839017,3,23720.708002381885,0.859332451954585,1.123505031778412
application_primary,APP-PRIMARY,21,1000021,2000021,36d201bf6a31f2ee460def09401e3e388e1b802b79e2919ddb3cd55895811b47,B-private-mirror,hard_09,9,candidate_anchor_00,9,0.45,0.07114786939702239,True,48,9,False,2000,399,1952,True,4,4,0.11237055199998736,False,,hard_03,0.7218588411525163,3,24271.549892093397,0.9272225278799419,1.0224819254759387
application_primary,APP-PRIMARY,22,1000022,2000022,36d201bf6a31f2ee460def09401e3e388e1b802b79e2919ddb3cd55895811b47,B-private-mirror,hard_09,9,hard_01,5,0.2646937715152353,0.23919944587518183,True,58,11,False,2000,399,1942,True,4,4,0.11087997099997438,False,,hard_03,0.7602356383540846,3,22714.487138624572,0.845063317384618,1.1061128799638698
